observation_date,JPNCPIALLMINMEI
1955-01-01,17.098589999999998
1955-02-01,17.098589999999998
1955-03-01,16.988520000000001
1955-04-01,17.135279999999998
1955-05-01,16.970170000000000
1955-06-01,16.988520000000001
1955-07-01,16.915129999999998
1955-08-01,17.025210000000001
1955-09-01,17.098589999999998
1955-10-01,17.208670000000001
1955-11-01,16.805060000000001
1955-12-01,16.731670000000001
1956-01-01,16.823399999999999
1956-02-01,16.970170000000000
1956-03-01,17.006860000000000
1956-04-01,17.043550000000000
1956-05-01,16.970170000000000
1956-06-01,17.318750000000001
1956-07-01,16.970170000000000
1956-08-01,17.061900000000001
1956-09-01,17.208670000000001
1956-10-01,17.300400000000000
1956-11-01,17.006860000000000
1956-12-01,17.190320000000000
1957-01-01,17.373790000000000
1957-02-01,17.337090000000000
1957-03-01,17.392129999999998
1957-04-01,17.502210000000002
1957-05-01,17.648979999999998
1957-06-01,17.593940000000000
1957-07-01,17.795750000000002
1957-08-01,17.924170000000000
1957-09-01,17.832439999999998
1957-10-01,17.777400000000000
1957-11-01,17.538900000000002
1957-12-01,17.502210000000002
1958-01-01,17.538900000000002
1958-02-01,17.392129999999998
1958-03-01,17.318750000000001
1958-04-01,17.392129999999998
1958-05-01,17.373790000000000
1958-06-01,17.575589999999998
1958-07-01,17.502210000000002
1958-08-01,17.685670000000002
1958-09-01,17.593940000000000
1958-10-01,17.740710000000000
1958-11-01,17.557250000000000
1958-12-01,17.538900000000002
1959-01-01,17.557250000000000
1959-02-01,17.483860000000000
1959-03-01,17.538900000000002
1959-04-01,17.630630000000000
1959-05-01,17.502210000000002
1959-06-01,17.630630000000000
1959-07-01,17.648979999999998
1959-08-01,17.924170000000000
1959-09-01,17.759049999999998
1959-10-01,17.997550000000000
1959-11-01,17.905820000000002
1959-12-01,17.905820000000002
1960-01-01,18.125979999999998
1960-02-01,18.144320000000000
1960-03-01,18.089279999999999
1960-04-01,18.199359999999999
1960-05-01,18.364480000000000
1960-06-01,18.291090000000001
1960-07-01,18.272749999999998
1960-08-01,18.419509999999999
1960-09-01,18.566279999999999
1960-10-01,18.658010000000001
1960-11-01,18.401170000000000
1960-12-01,18.547940000000001
1961-01-01,18.804780000000001
1961-02-01,18.896509999999999
1961-03-01,18.859820000000003
1961-04-01,19.043279999999999
1961-05-01,18.951550000000001
1961-06-01,18.951550000000001
1961-07-01,19.263439999999999
1961-08-01,19.410209999999999
1961-09-01,19.520280000000000
1961-10-01,19.942240000000002
1961-11-01,20.033970000000000
1961-12-01,20.217440000000000
1962-01-01,20.345859999999998
1962-02-01,20.272469999999998
1962-03-01,20.309170000000002
1962-04-01,20.529319999999998
1962-05-01,20.639399999999998
1962-06-01,20.566009999999999
1962-07-01,20.767820000000000
1962-08-01,20.767820000000000
1962-09-01,20.694440000000000
1962-10-01,20.859549999999999
1962-11-01,20.786169999999998
1962-12-01,21.208130000000001
1963-01-01,21.556699999999999
1963-02-01,21.654240000000001
1963-03-01,21.751790000000000
1963-04-01,21.849329999999998
1963-05-01,22.020029999999998
1963-06-01,22.190719999999999
1963-07-01,22.044409999999999
1963-08-01,21.971250000000001
1963-09-01,22.410190000000000
1963-10-01,22.337039999999998
1963-11-01,22.239490000000000
1963-12-01,22.337039999999998
1964-01-01,22.361420000000003
1964-02-01,22.337039999999998
1964-03-01,22.434580000000000
1964-04-01,22.702820000000003
1964-05-01,22.800360000000001
1964-06-01,22.751590000000000
