observation_date,MEXCPIALLMINMEI
1969-01-01,0.013227879999999999
1969-02-01,0.013275360000000000
1969-03-01,0.013288460000000000
1969-04-01,0.013324480000000000
1969-05-01,0.013324480000000000
1969-06-01,0.013371960000000000
1969-07-01,0.013422720000000001
1969-08-01,0.013437460000000000
1969-09-01,0.013563530000000001
1969-10-01,0.013705970000000000
1969-11-01,0.013707610000000000
1969-12-01,0.013810760000000000
1970-01-01,0.013915550000000000
1970-02-01,0.013913910000000000
1970-03-01,0.013954850000000000
1970-04-01,0.013972850000000000
1970-05-01,0.014002330000000000
1970-06-01,0.014087470000000000
1970-07-01,0.014156240000000000
1970-08-01,0.014221730000000000
1970-09-01,0.014256110000000001
1970-10-01,0.014261019999999999
1970-11-01,0.014337980000000000
1970-12-01,0.014459140000000001
1971-01-01,0.014601589999999999
1971-02-01,0.014662170000000000
1971-03-01,0.014717829999999999
1971-04-01,0.014793150000000000
1971-05-01,0.014824260000000001
1971-06-01,0.014891389999999999
1971-07-01,0.014879930000000000
1971-08-01,0.015015830000000001
1971-09-01,0.015064950000000001
1971-10-01,0.015079690000000000
1971-11-01,0.015104240000000000
1971-12-01,0.015176290000000000
1972-01-01,0.015243410000000001
1972-02-01,0.015290900000000000
1972-03-01,0.015374400000000000
1972-04-01,0.015471000000000000
1972-05-01,0.015502110000000000
1972-06-01,0.015616720000000001
1972-07-01,0.015675669999999999
1972-08-01,0.015778819999999999
1972-09-01,0.015850860000000001
1972-10-01,0.015862319999999999
1972-11-01,0.015965469999999999
1972-12-01,0.016019499999999999
1973-01-01,0.016251999999999999
1973-02-01,0.016386260000000000
1973-03-01,0.016530349999999999
1973-04-01,0.016792319999999999
1973-05-01,0.016970789999999999
1973-06-01,0.017109949999999999
1973-07-01,0.017548749999999998
1973-08-01,0.017830380000000000
1973-09-01,0.018254440000000000
1973-10-01,0.018488569999999999
1973-11-01,0.018716159999999999
1973-12-01,0.019443129999999999
1974-01-01,0.020138989999999999
1974-02-01,0.020594160000000000
1974-03-01,0.020752989999999999
1974-04-01,0.021034599999999900
1974-05-01,0.021199980000000000
1974-06-01,0.021409549999999999
1974-07-01,0.021718999999999999
1974-08-01,0.021948229999999999
1974-09-01,0.022197099999999900
1974-10-01,0.022637529999999999
1974-11-01,0.023266269999999999
1974-12-01,0.023448009999999998
1975-01-01,0.023747640000000000
1975-02-01,0.023878620000000000
1975-03-01,0.024029249999999999
1975-04-01,0.024232279999999998
1975-05-01,0.024556470000000000
1975-06-01,0.024973980000000000
1975-07-01,0.025173740000000000
1975-08-01,0.025391500000000001
1975-09-01,0.025576519999999998
1975-10-01,0.025707499999999901
1975-11-01,0.025887609999999998
1975-12-01,0.026098819999999998
1976-01-01,0.026603120000000001
1976-02-01,0.027100860000000001
1976-03-01,0.027366100000000001
1976-04-01,0.027557669999999999
1976-05-01,0.027750870000000000
1976-06-01,0.027862209999999998
1976-07-01,0.028097990000000000
1976-08-01,0.028366499999999999
1976-09-01,0.029334160000000001
1976-10-01,0.030986210000000000
1976-11-01,0.032386119999999997
1976-12-01,0.033198220000000001
1977-01-01,0.034255929999999997
1977-02-01,0.035012370000000001
1977-03-01,0.035623090000000003
1977-04-01,0.036161770000000003
1977-05-01,0.036479409999999997
1977-06-01,0.036926390000000003
1977-07-01,0.037343910000000001
1977-08-01,0.038110169999999999
1977-09-01,0.038786389999999997
1977-10-01,0.039082739999999998
1977-11-01,0.039510080000000003
1977-12-01,0.040056939999999999
1978-01-01,0.040947650000000002
1978-02-01,0.041535440000000000
1978-03-01,0.041967690000000002
1978-04-01,0.042434329999999999
1978-05-01,0.042850199999999998
1978-06-01,0.043439640000000002
1978-07-01,0.044176430000000003
1978-08-01,0.044616870000000003
1978-09-01,0.045126079999999999
1978-10-01,0.045672940000000002
1978-11-01,0.046142849999999999
1978-12-01,0.046534170000000000
1979-01-01,0.048186220000000002
1979-02-01,0.048878800000000000
1979-03-01,0.049541910000000002
1979-04-01,0.049985630000000003
1979-05-01,0.050640560000000001
1979-06-01,0.051202159999999997
1979-07-01,0.051822699999999999
1979-08-01,0.052606970000000003
1979-09-01,0.053252069999999999
1979-10-01,0.054182069999999999
1979-11-01,0.054879570000000003
1979-12-01,0.055850490000000003
1980-01-01,0.058573350000000003
1980-02-01,0.059927420000000002
1980-03-01,0.061160310000000002
1980-04-01,0.062229479999999997
1980-05-01,0.063244620000000001
1980-06-01,0.064498799999999995
1980-07-01,0.066299849999999994
1980-08-01,0.067673559999999994
1980-09-01,0.068425089999999994
1980-10-01,0.069461499999999995
1980-11-01,0.070666569999999998
1980-12-01,0.072520020000000004
1981-01-01,0.074856469999999994
1981-02-01,0.076695169999999993
1981-03-01,0.078335760000000004
1981-04-01,0.080102430000000002
1981-05-01,0.081314040000000004
1981-06-01,0.082450339999999997
1981-07-01,0.083902630000000006
1981-08-01,0.085631650000000004
1981-09-01,0.087224750000000004
1981-10-01,0.089160059999999999
1981-11-01,0.090875970000000000
1981-12-01,0.093322110000000000
1982-01-01,0.097959000000000004
1982-02-01,0.101808300000000004
1982-03-01,0.105526700000000001
1982-04-01,0.111245800000000006
1982-05-01,0.117498699999999998
1982-06-01,0.123158899999999905
1982-07-01,0.129505199999999987
1982-08-01,0.144037999999999999
1982-09-01,0.151726799999999912
1982-10-01,0.159592499999999998
1982-11-01,0.167661200000000010
1982-12-01,0.185565200000000013
1983-01-01,0.205756600000000012
1983-02-01,0.216798700000000011
1983-03-01,0.227292299999999892
1983-04-01,0.241682599999999997
1983-05-01,0.252164700000000019
1983-06-01,0.261713599999999991
1983-07-01,0.274653299999999989
1983-08-01,0.285313800000000006
1983-09-01,0.294094799999999990
1983-10-01,0.303853199999999990
1983-11-01,0.321698299999999993
1983-12-01,0.335461599999999915
1984-01-01,0.356772900000000004
1984-02-01,0.375601999999999991
1984-03-01,0.391655900000000001
1984-04-01,0.408598799999999984
1984-05-01,0.422147599999999901
1984-06-01,0.437425399999999909
1984-07-01,0.451765099999999975
1984-08-01,0.464606499999999978
1984-09-01,0.478446800000000005
1984-10-01,0.495163699999999984
1984-11-01,0.512157400000000096
1984-12-01,0.533909199999999973
1985-01-01,0.573514199999999974
1985-02-01,0.597340499999999941
1985-03-01,0.620487199999999905
1985-04-01,0.639580000000000037
1985-05-01,0.654731699999999917
1985-06-01,0.671129399999999987
1985-07-01,0.694502100000000011
1985-08-01,0.724864500000000023
1985-09-01,0.753813900000000037
1985-10-01,0.782448900000000003
1985-11-01,0.818548400000000065
1985-12-01,0.874272899999999908
1986-01-01,0.951567300000000005
1986-02-01,0.993872300000000042
1986-03-01,1.040067999999999993
1986-04-01,1.094368000000000007
1986-05-01,1.155181999999999931
1986-06-01,1.229333000000000009
1986-07-01,1.290672000000000041
1986-08-01,1.393574000000000090
1986-09-01,1.477174999999999905
1986-10-01,1.561612000000000000
1986-11-01,1.667116999999999516
1986-12-01,1.798804999999999987
1987-01-01,1.944452000000000069
1987-02-01,2.084759000000000029
1987-03-01,2.222534000000000010
1987-04-01,2.416995000000000005
1987-05-01,2.599209000000000103
1987-06-01,2.787243000000000137
1987-07-01,3.012988000000000000
1987-08-01,3.259238000000000302
1987-09-01,3.473955999999999822
1987-10-01,3.763459999999999805
1987-11-01,4.061980000000000146
1987-12-01,4.661927999999999628
1988-01-01,5.382772000000000112
1988-02-01,5.831736000000000253
1988-03-01,6.130367999999999817
1988-04-01,6.319055999999999784
